province_state,country_region,confirmed,deaths,recovered,active,lat,lon,date,new_confirmed,new_recovered,new_deaths,total_infect,deaths_rate,country_pop2018,perc_ctry_cnfrm,perc_ctry_rcvrd,perc_ctry_dead,perc_pop_infect,day_virus
Anhui,China,15,0,0,0,31.8257,117.2264,2020-01-24,0,0,0,15,0,1400812636,0.00006539,0.00000257,0.00000186,0.00000107,3
Fujian,China,10,0,0,0,26.0789,117.9874,2020-01-24,-5,0,0,10,0,1400812636,0.00006539,0.00000257,0.00000186,0.00000071,3
Henan,China,9,0,0,0,33.882,113.614,2020-01-24,-1,0,0,9,0,1400812636,0.00006539,0.00000257,0.00000186,0.00000064,3
Jiangsu,China,9,0,0,0,32.9711,119.455,2020-01-24,0,0,0,9,0,1400812636,0.00006539,0.00000257,0.00000186,0.00000064,3
Hainan,China,8,0,0,0,19.1959,109.7453,2020-01-24,-1,0,0,8,0,1400812636,0.00006539,0.00000257,0.00000186,0.00000057,3
Tianjin,China,8,0,0,0,39.3054,117.323,2020-01-24,0,0,0,8,0,1400812636,0.00006539,0.00000257,0.00000186,0.00000057,3
Yunnan,China,5,0,0,0,24.974,101.487,2020-01-24,-3,0,0,5,0,1400812636,0.00006539,0.00000257,0.00000186,0.00000036,3
Shaanxi,China,5,0,0,0,35.1917,108.8701,2020-01-24,0,0,0,5,0,1400812636,0.00006539,0.00000257,0.00000186,0.00000036,3
Heilongjiang,China,4,1,0,0,47.862,127.7615,2020-01-24,-1,0,1,5,20,1400812636,0.00006539,0.00000257,0.00000186,0.00000036,3
Liaoning,China,4,0,0,0,41.2956,122.6085,2020-01-24,0,0,-1,4,0,1400812636,0.00006539,0.00000257,0.00000186,0.00000029,3
Guizhou,China,3,0,0,0,26.8154,106.8748,2020-01-24,-1,0,0,3,0,1400812636,0.00006539,0.00000257,0.00000186,0.00000021,3
Jilin,China,3,0,0,0,43.6661,126.1923,2020-01-24,0,0,0,3,0,1400812636,0.00006539,0.00000257,0.00000186,0.00000021,3
Ningxia,China,2,0,0,0,37.2692,106.1655,2020-01-24,-1,0,0,2,0,1400812636,0.00006539,0.00000257,0.00000186,0.00000014,3
Hebei,China,2,1,0,0,38.0428,114.5149,2020-01-24,0,0,1,3,33.33333333333333,1400812636,0.00006539,0.00000257,0.00000186,0.00000021,3
Gansu,China,2,0,0,0,36.0611,103.8343,2020-01-24,0,0,-1,2,0,1400812636,0.00006539,0.00000257,0.00000186,0.00000014,3
Xinjiang,China,2,0,0,0,41.1129,85.2401,2020-01-24,0,0,0,2,0,1400812636,0.00006539,0.00000257,0.00000186,0.00000014,3
Shanxi,China,1,0,0,0,37.5777,112.2922,2020-01-24,-1,0,0,1,0,1400812636,0.00006539,0.00000257,0.00000186,0.00000007,3
Inner Mongolia,China,1,0,0,0,44.0935,113.9448,2020-01-24,0,0,0,1,0,1400812636,0.00006539,0.00000257,0.00000186,0.00000007,3
Qinghai,China,0,0,0,0,35.7452,95.9956,2020-01-24,-1,0,0,0,0,1400812636,0.00006539,0.00000257,0.00000186,0.00000000,3
Washington,US,1,0,0,0,47.4009,-121.4905,2020-01-24,1,0,0,1,0,327274411,0.00000061,0,0,0.00000031,3
"Chicago, IL",US,1,0,0,0,41.8781,-87.6298,2020-01-24,0,0,0,1,0,327274411,0.00000061,0,0,0.00000031,3
NA,Japan,2,0,0,0,36,138,2020-01-24,1,0,0,2,0,126529100,0.00000158,0,0,0.00000158,3
NA,Thailand,5,0,0,0,15,101,2020-01-24,3,0,0,5,0,69428524,0.0000072,0,0,0.0000072,3
NA,Korea,2,0,0,0,36,128,2020-01-24,-3,0,0,2,0,77185075,0.00000259,0,0,0.00000259,3
NA,Singapore,3,0,0,0,1.2833,103.8333,2020-01-24,1,0,0,3,0,5638676,0.0000532,0,0,0.0000532,2
NA,Vietnam,2,0,0,0,16,108,2020-01-24,-1,0,0,2,0,95540395,0.00000209,0,0,0.00000209,2
NA,France,2,0,0,0,47,2,2020-01-24,0,0,0,2,0,66987244,0.00000299,0,0,0.00000299,1
Hubei,China,761,40,32,0,30.9756,112.2707,2020-01-25,759,32,40,833,4.8019207683073235,1400812636,0.00009987,0.00000278,0.000003,0.00005947,4
Guangdong,China,78,0,2,0,23.3417,113.4244,2020-01-25,-683,-30,-40,80,0,1400812636,0.00009987,0.00000278,0.000003,0.00000571,4
Zhejiang,China,62,0,1,0,29.1832,120.0934,2020-01-25,-16,-1,0,63,0,1400812636,0.00009987,0.00000278,0.000003,0.00000450,4
Chongqing,China,57,0,0,0,30.0572,107.874,2020-01-25,-5,-1,0,57,0,1400812636,0.00009987,0.00000278,0.000003,0.00000407,4
Hunan,China,43,0,0,0,27.6104,111.7088,2020-01-25,-14,0,0,43,0,1400812636,0.00009987,0.00000278,0.000003,0.00000307,4
Beijing,China,41,0,2,0,40.1824,116.4142,2020-01-25,-2,2,0,43,0,1400812636,0.00009987,0.00000278,0.000003,0.00000307,4
Anhui,China,39,0,0,0,31.8257,117.2264,2020-01-25,-2,-2,0,39,0,1400812636,0.00009987,0.00000278,0.000003,0.00000278,4
Shanghai,China,33,0,1,0,31.202,121.4491,2020-01-25,-6,1,0,34,0,1400812636,0.00009987,0.00000278,0.000003,0.00000243,4
Henan,China,32,0,0,0,33.882,113.614,2020-01-25,-1,-1,0,32,0,1400812636,0.00009987,0.00000278,0.000003,0.00000228,4
Sichuan,China,28,0,0,0,30.6171,102.7103,2020-01-25,-4,0,0,28,0,1400812636,0.00009987,0.00000278,0.000003,0.00000200,4
Shandong,China,27,0,0,0,36.3427,118.1498,2020-01-25,-1,0,0,27,0,1400812636,0.00009987,0.00000278,0.000003,0.00000193,4
